"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"beachmat","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.18.0",NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"BH","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.84.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.2"
"Biobase","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.62.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"BiocFileCache","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.10.1",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, filelock, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"BiocGenerics","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.46.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"BiocIO","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.12.0",NA,"R (>= 4.3.0)","BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"BiocManager","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.30.22",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"BiocNeighbors","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.20.1",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"BiocParallel","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.36.0",NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH, cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table","Rmpi","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"BiocSingular","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.18.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"BiocVersion","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.18.1",NA,"R (>= 4.3.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"biomaRt","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.58.0",NA,"methods","utils, XML (>= 3.99-0.7), AnnotationDbi, progress, stringr,
httr, digest, BiocFileCache, rappdirs, xml2",NA,"BiocStyle, knitr, mockery, rmarkdown, testthat, webmockr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"Biostrings","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.70.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1),
GenomeInfoDb","methods, utils, grDevices, graphics, stats, crayon","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"bit","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bit64","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bitops","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"blob","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"bluster","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.12.0",NA,NA,"stats, methods, utils, cluster, Matrix, Rcpp, igraph,
S4Vectors, BiocParallel, BiocNeighbors","Rcpp","knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis, mbkmeans,
kohonen, apcluster, DirichletMultinomial, vegan, fastcluster",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"boot","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.3.0"
"brew","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"brio","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.4",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"broom","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.5",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, sp, spdep (>=
1.1), spatialreg, speedglm, spelling, survey, survival,
systemfit, testthat (>= 2.1.0), tseries, vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"BSgenome","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.70.1",NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.39.7)","utils, stats, matrixStats, XVector, Rsamtools",NA,"BiocManager, Biobase, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit,
BSgenomeForge",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"BSgenome.Dmelanogaster.UCSC.dm6","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.1",NA,"BSgenome (>= 1.35.10)","BSgenome",NA,"GenomicFeatures",NA,"Artistic-2.0",NA,NA,NA,NA,NA,"4.3.2"
"BSgenome.Hsapiens.UCSC.hg19","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.3",NA,"BSgenome (>= 1.54.0)","BSgenome",NA,"",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"BSgenome.Hsapiens.UCSC.hg38","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.5",NA,"R (>= 4.2.0), GenomeInfoDb (>= 1.34.9), BSgenome (>= 1.66.2)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"bslib","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.6.2",NA,"R (>= 2.10)","base64enc, cachem, grDevices, htmltools (>= 0.5.7), jquerylib
(>= 0.1.3), jsonlite, lifecycle, memoise (>= 2.0.1), mime,
rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (>= 1.8.0), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"cachem","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.8",NA,NA,"rlang, fastmap (>= 1.1.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"Cairo","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6-2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"callr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"car","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"carData","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"caret","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","6.0-94",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"caTools","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"CellChat","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.5.0",NA,"R (>= 3.6.0),dplyr,igraph,ggplot2","future, future.apply, pbapply, irlba, NMF (>= 0.23.0),
ggalluvial, stringr, svglite, Matrix, expm, Rtsne, ggrepel,
circlize (>= 0.4.12), RColorBrewer, cowplot, methods,
ComplexHeatmap, RSpectra, Rcpp, RcppEigen, reticulate, scales,
sna, forcats, reshape2, FNN, shape, BiocGenerics, magrittr,
patchwork, colorspace, plyr, ggpubr","Rcpp, RcppEigen","rmarkdown, knitr, roxygen2, Seurat (>= 3.0.0),
SingleCellExperiment, SummarizedExperiment,
purrr,uwot,gg.gap,wordcloud",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"cellranger","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"checkmate","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.3.1",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"chromVAR","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.24.0",NA,"R (>= 3.5.0)","IRanges, GenomeInfoDb, GenomicRanges, ggplot2, nabor,
BiocParallel, BiocGenerics, Biostrings, TFBSTools, Rsamtools,
S4Vectors, methods, Rcpp, grid, plotly, shiny, miniUI, stats,
utils, graphics, DT, Rtsne, Matrix, SummarizedExperiment,
RColorBrewer, BSgenome","Rcpp, RcppArmadillo","JASPAR2016, BSgenome.Hsapiens.UCSC.hg19, readr, testthat,
knitr, rmarkdown, pheatmap, motifmatchr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"chromVARmotifs","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.2.0",NA,"R (>= 3.3)","TFBSTools",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"circlize","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.16",NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"class","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"cli","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.6.2",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"clipr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"clock","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.7.0",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"clue","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.3-65",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.3.2"
"cluster","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"CNEr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.38.0",NA,"R (>= 3.5.0)","Biostrings (>= 2.33.4), DBI (>= 0.7), RSQLite (>= 0.11.4),
GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.23.16),
rtracklayer (>= 1.25.5), XVector (>= 0.5.4), GenomicAlignments
(>= 1.1.9), methods, S4Vectors (>= 0.13.13), IRanges (>=
2.5.27), readr (>= 0.2.2), BiocGenerics, tools, parallel,
reshape2 (>= 1.4.1), ggplot2 (>= 2.1.0), poweRlaw (>= 0.60.3),
annotate (>= 1.50.0), GO.db (>= 3.3.0), R.utils (>= 2.3.0),
KEGGREST (>= 1.14.0)","S4Vectors, IRanges, XVector","Gviz (>= 1.7.4), BiocStyle, knitr, rmarkdown, testthat,
BSgenome.Drerio.UCSC.danRer10, BSgenome.Hsapiens.UCSC.hg38,
TxDb.Drerio.UCSC.danRer10.refGene, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Ggallus.UCSC.galGal3",NA,"GPL-2 | file LICENSE",NA,"yes",NA,NA,"yes","4.3.2"
"coda","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"codetools","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"colorspace","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"commonmark","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.9.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"compiler","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,NA,NA,NA,NA,"Part of R 4.3.2",NA,NA,NA,NA,NA,"4.3.2"
"ComplexHeatmap","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.15.4",NA,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"conflicted","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"corrplot","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"cowplot","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.3",NA,"R (>= 3.5.0)","ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.2"
"cpp11","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.7",NA,"R (>= 3.5.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"crayon","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"credentials","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.0.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"crosstalk","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"curl","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","5.1.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"data.table","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.15.2",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"datasets","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,NA,NA,NA,NA,"Part of R 4.3.2",NA,NA,NA,NA,NA,"4.3.2"
